,MSE,MAPE,RMSE,n_parameters
Single Layer (50),5.830185766643606,0.06989314725323069,2.4051691373305086,552.0
Single Layer (100),7.50973618011294,0.07360169692197058,2.735163308357757,1102.0
"Two Layers (50, 25)",9.386441688699488,0.09279007632266002,3.061854523674138,1777.0
"Two Layers (100, 50)",1.3597394768131732,0.03522693327352032,1.1337997768430186,6052.0
"Three Layers (100, 50, 25)",1.5281457149248363,0.037190444343726266,1.142117702983456,7277.0
"Deep Network (100, 75, 50, 25)",1.4999298513773167,0.028372174355562926,1.1113734042419239,13602.0
